"research_stage","interest","amusement","pride","joy","pleasure","contentment","love","admiration","relief","compassion","sadness","guilt","regret","shame","disappointment","fear","disgust","contempt","hate","anger"
"Project genesis",5.991,4.582,4.752,4.829,4.673,4.356,3.944,4,3.494,3.622,2.783,2.438,2.964,2.5,3.076,3.411,2.743,2.744,2.519,2.75
"Reality check",6.017,4.478,4.642,4.569,4.554,4.241,3.171,3.75,3.095,3.73,3.308,3.559,3.167,3.16,3.368,4.122,2.409,2.6,2.278,2.966
"Preparations",5.11,3.336,4.191,3.594,3.508,3.619,3.154,3.202,3.031,3.457,3.022,3.267,2.769,2.478,3.322,3.324,2.455,2.712,1.902,2.831
"Data collection",5.359,3.884,4.617,4.09,4.035,4.16,3.443,3.549,3.417,3.943,3.01,2.711,2.671,2.385,3.195,3.075,2,2.345,1.86,2.588
"Data analysis",5.756,4.155,4.626,4.27,4.316,4.405,3.323,3.754,3.567,3.709,2.814,3.155,2.714,2.754,3.018,2.865,2.391,2.538,2.178,2.646
"Report writing",5.461,3.578,4.843,4.167,4.26,4.296,3.016,3.651,3.97,3.194,2.837,3.187,2.981,2.452,2.856,3.109,2.354,2.569,2.246,2.828
"Waiting for journal",5.044,3.111,4.628,4.035,3.919,4.256,3.204,3.569,4.386,3.567,2.961,2.4,2.522,2.294,3.263,2.985,2.118,2.4,2.517,2.714
"Reviews and revisions",4.841,3.029,4.089,3.427,3.56,4.051,2.818,3.08,3.987,3.056,3.082,2.513,2.771,2.343,3.111,2.88,2.258,2.462,2.25,2.936
"Post-project stage",5.733,3.943,5.348,4.822,4.634,4.956,3.821,3.848,4.927,4.1,3.31,2.5,2.88,2.867,3.9,3.2,3,3.059,2.083,3.24
